C20orf59	hgnc:16192	SLC17A9
POROK8	hgnc:16192	SLC17A9
FLJ23412	hgnc:16192	SLC17A9
VNUT	hgnc:16192	SLC17A9
locus4010	hgnc:49570	LHX5-AS1
locus 4010	hgnc:49570	LHX5-AS1
MPD	hgnc:7529	MVD
FP17780	hgnc:7529	MVD
POROK7	hgnc:7529	MVD
MDDase	hgnc:7529	MVD
4.1.1.33	hgnc:7529	MVD
STL4	hgnc:2217	COL9A1
MED	hgnc:2219	COL9A3
DJ149L1.1.2	hgnc:2217	COL9A1
EDM6	hgnc:2217	COL9A1
VGLUT1	hgnc:16704	SLC17A7
BNPI	hgnc:16704	SLC17A7
BAZ-1	hgnc:13006	ZNF214
BAZ1	hgnc:13006	ZNF214
FLJ22341	hgnc:20788	RHBDF2
iRhom2	hgnc:20788	RHBDF2
TEC	hgnc:20788	RHBDF2
RHBDL6	hgnc:20788	RHBDF2
RHBDL5	hgnc:20788	RHBDF2
TOC	hgnc:20788	RHBDF2
TOCG	hgnc:20788	RHBDF2
FLJ20014	hgnc:25939	BORCS6
PRO2472	hgnc:25939	BORCS6
C17orf59	hgnc:25939	BORCS6
CTAGE	hgnc:24346	CTAGE1
CTAGE-1	hgnc:24346	CTAGE1
cTAGE-2	hgnc:24346	CTAGE1
CT21.2	hgnc:24346	CTAGE1
CT21.1	hgnc:24346	CTAGE1
IGHV167	hgnc:5556	IGHV1-67
1-67P	hgnc:5556	IGHV1-67
PUNISHER	hgnc:48633	AGAP2-AS1
LOC100130776	hgnc:48633	AGAP2-AS1
3.2.1.45	hgnc:4177	GBA
SPG46	hgnc:18986	GBA2
AD035	hgnc:18986	GBA2
KIAA1605	hgnc:18986	GBA2
NLGase	hgnc:18986	GBA2
DKFZp762K054	hgnc:18986	GBA2
KRTAP5-12	hgnc:23608	KRTAP5-14P
KRTAP5.P2	hgnc:23608	KRTAP5-14P
KRTAP5P2	hgnc:23608	KRTAP5-14P
CTRCT45	hgnc:23801	SIPA1L3
SPAR3	hgnc:23801	SIPA1L3
KIAA0545	hgnc:23801	SIPA1L3
SPAL3	hgnc:23801	SIPA1L3
BHMG1	hgnc:44318	MEIOSIN
HMGDC	hgnc:44318	MEIOSIN
NP-C2	hgnc:14537	NPC2
EDDM1	hgnc:14537	NPC2
HE1	hgnc:14537	NPC2
CILD22	hgnc:19412	ZMYND10
DNAAF7	hgnc:19412	ZMYND10
BLU	hgnc:19412	ZMYND10
FLU	hgnc:19412	ZMYND10
KIAA0301	hgnc:18302	MDN1
Rea1	hgnc:18302	MDN1
GluA4-ATD	hgnc:4574	GRIA4
GLUR4C	hgnc:4574	GRIA4
GLUR4	hgnc:4574	GRIA4
NEDSGA	hgnc:4574	GRIA4
GLURD	hgnc:4574	GRIA4
GluA4	hgnc:4574	GRIA4
NF1L7	hgnc:34230	NF1P7
hsa-mir-4708	hgnc:41824	MIR4708
mir-4708	hgnc:41824	MIR4708
C3orf35	hgnc:24082	APRG1
PRO1486	hgnc:20146	CBLN3
IGKV1OR20	hgnc:5766	IGKV1OR2-0
IGKV1/OR2-0	hgnc:5766	IGKV1OR2-0
HLA-DR1BL	hgnc:4957	HLA-DRB9
HLA-DRB1L	hgnc:4957	HLA-DRB9
D6S206	hgnc:4957	HLA-DRB9
D6S206E	hgnc:4957	HLA-DRB9
hHUS1	hgnc:5309	HUS1
hsa-mir-548ae-1	hgnc:41742	MIR548AE1
HAR1R	hgnc:33118	HAR1B
NCRNA00065	hgnc:33118	HAR1B
LINC00065	hgnc:33118	HAR1B
OR5B18P	hgnc:8320	OR5B10P
OR5B11	hgnc:8320	OR5B10P
OR5B11P	hgnc:8320	OR5B10P
OR13-64	hgnc:8320	OR5B10P
OR5B10	hgnc:8320	OR5B10P
OR13-34	hgnc:8320	OR5B10P
OR5B4P	hgnc:8320	OR5B10P
OR13-67	hgnc:8320	OR5B10P
BAT2L2P1	hgnc:23949	PRRC2CP1
BAT2D1P1	hgnc:23949	PRRC2CP1
ATD	hgnc:795	ATM
MGC9912	hgnc:20277	DTD2
C14orf126	hgnc:20277	DTD2
HDHD4	hgnc:16140	NANP
C20orf147	hgnc:16140	NANP
dJ694B14.3	hgnc:16140	NANP
MGC26833	hgnc:16140	NANP
3.1.3.29	hgnc:16140	NANP
TAXREB67P	hgnc:789	ATF4P1
ATF4P	hgnc:789	ATF4P1
TXREBP	hgnc:789	ATF4P1
MIRN1469	hgnc:35378	MIR1469
hsa-mir-1469	hgnc:35378	MIR1469
hsa-mir-550b-1	hgnc:38992	MIR550B1
MGC45806	hgnc:28702	RAB42
HMGN2L6	hgnc:33574	HMGN2P6
moblak	hgnc:29802	MOB3A
MOB-LAK	hgnc:29802	MOB3A
MOBKL2A	hgnc:29802	MOB3A
MOB1C	hgnc:29802	MOB3A
ATS3	hgnc:2204	COL4A3
ATS2	hgnc:2206	COL4A4
tRNA-Thr-TGT-3-1	hgnc:12351	TRT-TGT3-1
TRT2	hgnc:12351	TRT-TGT3-1
TRNAT2	hgnc:12351	TRT-TGT3-1
tRNA-Sup-CTA-1-1	hgnc:34995	TRSUP-CTA1-1
TRNASUP3	hgnc:34995	TRSUP-CTA1-1
RPLP1_6_1047	hgnc:35509	RPLP1P10
MKI67IPP4	hgnc:44952	NIFKP4
RU2	hgnc:21031	KAAG1
AIBP63	hgnc:17022	HPS5
BLOC2S2	hgnc:17022	HPS5
L30	hgnc:18479	RSL24D1
HBII-336	hgnc:32755	SNORD93
FLJ30067	hgnc:30711	DNAI3
DIC3	hgnc:30711	DNAI3
WDR63	hgnc:30711	DNAI3
NYD-SP29	hgnc:30711	DNAI3
FLJ25818	hgnc:26379	EFCAB3
PVALB	hgnc:6915	MB
FLJ11287	hgnc:17826	WDR5B
CT7.1	hgnc:6812	MAGEC1
MAGE-C1	hgnc:6812	MAGEC1
CT7	hgnc:6812	MAGEC1
MGC39366	hgnc:6812	MAGEC1
ENST00000453068	hgnc:50694	CYP51A1-AS1
LRRD1-AS1	hgnc:50694	CYP51A1-AS1
MGC10676	hgnc:29658	MESP1
bHLHc5	hgnc:29658	MESP1
RN5S193	hgnc:43093	RNA5SP193
onco-lncRNA-83	hgnc:14575	MEG3
PRO2160	hgnc:14575	MEG3
NCRNA00023	hgnc:14575	MEG3
FP504	hgnc:14575	MEG3
LINC00023	hgnc:14575	MEG3
GTL2	hgnc:14575	MEG3
PRO0518	hgnc:14575	MEG3
prebp1	hgnc:14575	MEG3
FLJ12606	hgnc:25736	ZNF669
GCL	hgnc:23843	GMCL1
GMCL1L	hgnc:19717	GMCL2
GMCL1P1	hgnc:19717	GMCL2
M2-LHX3	hgnc:6595	LHX3
CPHD3	hgnc:6595	LHX3
LIM3	hgnc:6595	LHX3
hsa-mir-4475	hgnc:41697	MIR4475
dJ822J19.1	hgnc:16588	ENSAP1
ENSAP	hgnc:16588	ENSAP1
GLP-1-R	hgnc:4324	GLP1R
GLP-1R	hgnc:4324	GLP1R
GLP-1	hgnc:4191	GCG
MMDS2	hgnc:24415	BOLA3
3.2.1.143	hgnc:8605	PARG
PARG99	hgnc:8605	PARG
OAR	ncbigene:4936	OA3
RBM32A	hgnc:27989	PABPC1L2A
LSIRF	hgnc:6119	IRF4
SHEP8	hgnc:6119	IRF4
NF-EM5	hgnc:6119	IRF4
MUM1	hgnc:29641	PWWP3A
RNF78	hgnc:9977	RFPL1
RPL31_20_1484	hgnc:36336	RPL31P56
KV7.4	hgnc:6298	KCNQ4
DFNA2	hgnc:4285	GJB3
DFNA2A	hgnc:6298	KCNQ4
CPX-2	hgnc:2310	CPLX2
921-L	hgnc:2310	CPLX2
Hfb1	hgnc:2310	CPLX2
DKFZp547D155	hgnc:2310	CPLX2
CPX2	hgnc:26977	CPXM2
CABL1	hgnc:25097	CABLES1
CABLES	hgnc:25097	CABLES1
IK3-1	hgnc:25097	CABLES1
FLJ35924	hgnc:25097	CABLES1
HsT2563	hgnc:25097	CABLES1
3.1.1.2	hgnc:9206	PON3
CECR5	hgnc:1843	HDHD5
LINC00346	hgnc:27492	PRECSIT
C13orf29	hgnc:27492	PRECSIT
NCRNA00346	hgnc:27492	PRECSIT
TAF2GL	hgnc:30678	TAF9P3
IGKDE	hgnc:5717	IGKDEL
GEY	ncbigene:2141	EYCL1
PDCD9	hgnc:8769	MRPS30
MRP-S30	hgnc:8769	MRPS30
S30mt	hgnc:8769	MRPS30
PAP	hgnc:17034	TUSC2
KIAA0041	hgnc:16469	ACAP2
CENTB2	hgnc:16469	ACAP2
CNT-B2	hgnc:16469	ACAP2
hsa-mir-11401	hgnc:54020	MIR11401
YWHAZP	hgnc:19938	YWHAZP1
Ringo1	hgnc:16408	SPDYE1
WBSCR19	hgnc:16408	SPDYE1
SPDYE	hgnc:16408	SPDYE1
SPDYB2L2	hgnc:16408	SPDYE1
YUKOPIN	hgnc:14220	SERPINB12
FLJ23459	hgnc:20044	GEMIN6
KIAA0187	hgnc:23505	BMS1
BMS1L	hgnc:23505	BMS1
ACC	hgnc:84	ACACA
LGR3	hgnc:12373	TSHR
CHNG1	hgnc:12373	TSHR
hTSHR-I	hgnc:12373	TSHR
C10orf32-ASMT	hgnc:49183	BORCS7-ASMT
C10orf32-AS3MT	hgnc:49183	BORCS7-ASMT
1.4.4.2	hgnc:4313	GLDC
NKH	hgnc:4208	GCSH
GCSP	hgnc:4313	GLDC
HYGN1	hgnc:4313	GLDC
GCE	hgnc:4208	GCSH
RN5S436	hgnc:43336	RNA5SP436
ERCM2	hgnc:3437	ERCC5
XPG	hgnc:3437	ERCC5
UVDR	hgnc:3437	ERCC5
COFS3	hgnc:3437	ERCC5
XPGC	hgnc:3437	ERCC5
ERCC5-201	hgnc:3437	ERCC5
CARMA2	hgnc:16446	CARD14
PSORS2	hgnc:16446	CARD14
PSS1	hgnc:9587	PTDSS1
BIMP2	hgnc:16446	CARD14
PRP	hgnc:9353	PRDX2
CKI	hgnc:1937	CHKA
CHK	hgnc:6906	MATK
EK	hgnc:1938	CHKB
2.7.1.32	hgnc:1937	CHKA
CK	hgnc:18170	CMPK1
MIRN29	hgnc:31616	MIR29A
MIRN29A	hgnc:31616	MIR29A
miRNA29A	hgnc:31616	MIR29A
hsa-mir-29a	hgnc:31616	MIR29A
hsa-mir-29	hgnc:31616	MIR29A
mir-29a	hgnc:31616	MIR29A
Hos	hgnc:13607	FBXW11
FRP-2	hgnc:6139	ITGA3
SARP1	hgnc:10777	SFRP2
SDF-5	hgnc:10777	SFRP2
C1orf138	hgnc:32041	ADAMTSL4-AS1
Mcl-1	hgnc:32041	ADAMTSL4-AS1
BCL2L3	hgnc:32041	ADAMTSL4-AS1
bcl2-L-3	hgnc:32041	ADAMTSL4-AS1
MCL1L	hgnc:32041	ADAMTSL4-AS1
FLJ45786	hgnc:32041	ADAMTSL4-AS1
TM	hgnc:11784	THBD
EAT	hgnc:32041	ADAMTSL4-AS1
MCL1S	hgnc:32041	ADAMTSL4-AS1
mcl1/EAT	hgnc:32041	ADAMTSL4-AS1
MCL1-ES	hgnc:32041	ADAMTSL4-AS1
PSP24B	hgnc:13302	GPR63
PSP24(beta)	hgnc:13302	GPR63
C1orf227	hgnc:33709	SPATA45
LOC149643	hgnc:33709	SPATA45
EB1	hgnc:6891	MAPRE2
DKFZp762O076	hgnc:25452	PIP4P2
3.1.3.78	hgnc:19299	PIP4P1
TMEM55A	hgnc:25452	PIP4P2
FRCL1	hgnc:15621	SLC35D3
CRF2-4	hgnc:5965	IL10RB
CDW210B	hgnc:5965	IL10RB
D21S58	hgnc:5965	IL10RB
IL-10R2	hgnc:5965	IL10RB
CRFB4	hgnc:5965	IL10RB
D21S66	hgnc:5965	IL10RB
