LOC105378581	hgnc:50701	LINC01409
C20orf59	hgnc:16192	SLC17A9
LOC651285	ncbigene:646927	LOC646927
LOC647337	hgnc:50474	IARS2P1
LOC102723658	hgnc:52769	LINC01945
RHBDL6	hgnc:20788	RHBDF2
TOC	hgnc:20788	RHBDF2
C17orf59	hgnc:25939	BORCS6
PRO2472	hgnc:25939	BORCS6
LOC147575	hgnc:24346	CTAGE1
CTAGE-2	hgnc:24346	CTAGE1
LOC94982	hgnc:24346	CTAGE1
LOC100508392	hgnc:5556	IGHV1-67
SPG46	hgnc:18986	GBA2
KRTAP5P2	hgnc:23608	KRTAP5-14P
BHMG1	hgnc:44318	MEIOSIN
MDN1	hgnc:18302	MDN1
GLUR4	hgnc:4574	GRIA4
NF1L7	hgnc:34230	NF1P7
LOC100419030	hgnc:34230	NF1P7
C3orf35	hgnc:24082	APRG1
LOC105377032	hgnc:24082	APRG1
LOC651052	hgnc:20146	CBLN3
CBLN3	hgnc:20146	CBLN3
HLA-DR1BL	hgnc:4957	HLA-DRB9
HLA-DRB1L	hgnc:4957	HLA-DRB9
LOC100294097	hgnc:4957	HLA-DRB9
LOC650537	hgnc:44532	MRPL40P1
OR5B10P	hgnc:8320	OR5B10P
OR5B18P	hgnc:8320	OR5B10P
OR5B11	hgnc:8320	OR5B10P
OR5B11P	hgnc:8320	OR5B10P
LOC100421969	hgnc:8320	OR5B10P
OR5B10	hgnc:8320	OR5B10P
OR5B4P	hgnc:8320	OR5B10P
LOC100291396	ncbigene:100287792	LOC100287792
FLJ42133	ncbigene:100287792	LOC100287792
LOC100292176	ncbigene:100287792	LOC100287792
LOC100509993	ncbigene:100287792	LOC100287792
BAT2L2P1	hgnc:23949	PRRC2CP1
C14orf126	hgnc:20277	DTD2
HDHD4	hgnc:16140	NANP
C20orf147	hgnc:16140	NANP
MGC26833	hgnc:16140	NANP
FLJ23755	hgnc:16140	NANP
LOC340599	hgnc:789	ATF4P1
LOC643894	hgnc:789	ATF4P1
TXREBP	hgnc:789	ATF4P1
ATF4P	hgnc:789	ATF4P1
LOC100422551	hgnc:789	ATF4P1
LOC651393	hgnc:54782	DNAJC17P1
MIRN1469	hgnc:35378	MIR1469
LOC100131133	hgnc:45210	NPM1P31
HMGN2L6	hgnc:33574	HMGN2P6
LOC82913	hgnc:33574	HMGN2P6
LOC85604	hgnc:33574	HMGN2P6
LOC649445	hgnc:33574	HMGN2P6
LOC65571	hgnc:31053	RNF5P1
LOC157864	hgnc:31053	RNF5P1
MOBKL2A	hgnc:29802	MOB3A
LOC200750	hgnc:2204	COL4A3
TRT2	hgnc:12351	TRT-TGT3-1
TRNAT2	hgnc:12351	TRT-TGT3-1
TRNASUP3	hgnc:34995	TRSUP-CTA1-1
LOC100422360	hgnc:44952	NIFKP4
MKI67IPP4	hgnc:44952	NIFKP4
HPS5	hgnc:17022	HPS5
WDR63	hgnc:30711	DNAI3
